,worm_index_joined,frame_number,coord_x,coord_y,threshold
0,1,1,355.8870849609375,465.3067932128906,122
1,1,2,354.7345275878906,466.0177001953125,122
2,1,3,354.41461181640625,466.2317199707031,122
3,1,4,354.2503967285156,466.6278381347656,122
4,1,5,353.8800048828125,466.6600036621094,122
5,1,6,353.7567443847656,467.04052734375,122
6,1,7,353.6364440917969,467.35833740234375,122
7,1,8,353.5465087890625,467.37506103515625,122
8,1,9,353.5465087890625,467.37506103515625,122
9,1,10,353.50439453125,467.2432556152344,122
10,1,11,352.75408935546875,467.24298095703125,122
11,1,12,351.8500061035156,467.04998779296875,122
12,1,13,350.84246826171875,466.41259765625,122
13,1,14,349.904052734375,466.13397216796875,122
14,1,15,347.6142578125,466.7088317871094,122
15,1,16,345.9230651855469,467.3846130371094,122
16,1,17,344.8576354980469,468.13232421875,122
17,1,18,344.17291259765625,468.5969543457031,122
18,1,19,342.96697998046875,469.6899108886719,122
19,1,20,341.75457763671875,470.5986328125,122
20,1,21,341.21820068359375,471.2066345214844,122
21,1,22,340.89306640625,471.445068359375,122
22,1,23,339.3399963378906,472.6199951171875,122
23,1,24,338.58001708984375,473.44000244140625,122
24,1,25,338.5212097167969,473.29217529296875,122
25,2,1,450.3812255859375,445.74310302734375,112
26,2,2,450.3812255859375,445.74310302734375,112
27,2,3,449.43646240234375,446.7928161621094,112
28,2,4,450.35357666015625,445.7182312011719,112
29,2,5,449.8812255859375,446.24310302734375,112
30,2,6,450.0961608886719,445.98077392578125,112
31,2,7,449.87384033203125,446.229248046875,112
32,2,8,450.1546325683594,445.5330810546875,112
33,2,9,450.5669250488281,445.4546203613281,112
34,2,10,450.3184814453125,445.7322998046875,112
35,2,11,450.12847900390625,445.56231689453125,112
36,2,12,450.41571044921875,445.35009765625,112
37,2,13,450.38525390625,445.2377014160156,112
38,2,14,450.4344177246094,445.2786865234375,112
39,2,15,450.5294189453125,444.8823547363281,112
40,2,16,450.5705871582031,444.9176330566406,112
41,2,17,450.5705871582031,444.9176330566406,112
42,2,18,450.70587158203125,444.67645263671875,112
43,2,19,450.81402587890625,444.6724853515625,112
44,2,20,450.91766357421875,444.4294128417969,112
45,2,21,450.75408935546875,444.7950744628906,112
46,2,22,450.5348205566406,445.11572265625,112
47,2,23,450.8825378417969,445.358642578125,112
48,2,24,451.0,445.5,112
49,2,25,451.1241455078125,445.8896484375,112
50,3,1,371.7976379394531,258.581787109375,128
51,3,2,371.8515930175781,258.4266357421875,128
52,3,3,371.75042724609375,258.717529296875,128
53,3,4,371.75,258.75,128
54,3,5,371.7322082519531,258.7743225097656,128
55,3,6,371.6499938964844,259.04998779296875,128
56,3,7,371.50750732421875,259.5478515625,128
57,3,8,371.5,259.5,128
58,3,9,371.29998779296875,260.1000061035156,128
59,3,10,371.36138916015625,259.99566650390625,128
60,3,11,371.33392333984375,260.6885986328125,128
61,3,12,370.95849609375,261.9221496582031,128
62,3,13,370.9145812988281,262.66607666015625,128
63,3,14,370.3156433105469,263.25067138671875,128
64,3,15,369.5108947753906,264.51324462890625,128
65,3,16,369.1126403808594,265.7963562011719,128
66,3,17,369.0258483886719,267.3279113769531,128
67,3,18,368.9687805175781,268.8739013671875,128
68,3,19,369.20721435546875,271.33074951171875,128
69,3,20,369.4977111816406,272.7877502441406,128
70,3,21,369.42413330078125,273.7896423339844,128
71,3,22,369.3896484375,274.3758544921875,128
72,3,23,369.55523681640625,277.3984375,128
73,3,24,369.1531677246094,279.213134765625,128
74,3,25,369.1188659667969,279.692626953125,128
75,1,26,337.0670166015625,474.3548583984375,122
76,1,27,333.25164794921875,477.1859436035156,122
77,1,28,332.75,478.25,122
78,1,29,332.431884765625,478.42864990234375,122
79,1,30,331.66705322265625,479.1504211425781,122
80,1,31,330.6600036621094,480.1199951171875,122
81,1,32,329.3524169921875,481.34539794921875,122
82,1,33,328.9169921875,481.909423828125,122
83,1,34,328.66790771484375,482.1377258300781,122
84,1,35,327.8754577636719,482.8641357421875,122
85,1,36,327.3592834472656,483.34588623046875,122
86,1,37,326.06195068359375,484.57080078125,122
87,1,38,324.67816162109375,485.7798767089844,122
88,1,39,324.36065673828125,486.03277587890625,122
89,1,40,323.447265625,487.08935546875,122
90,1,41,322.6673889160156,487.7674865722656,122
91,1,42,322.15045166015625,488.24334716796875,122
92,1,43,321.1686096191406,488.6916198730469,122
93,1,44,320.7605895996094,489.28802490234375,122
94,1,45,320.2513732910156,489.7237548828125,122
95,1,46,319.72760009765625,490.13104248046875,122
96,1,47,319.38165283203125,490.2840270996094,122
97,1,48,319.3277587890625,490.30194091796875,122
98,1,49,319.34259033203125,490.3177490234375,122
99,1,50,319.5899353027344,490.1041564941406,122
100,2,26,450.0413513183594,446.9898376464844,112
101,2,27,449.7950744628906,447.25408935546875,112
102,2,28,448.4024353027344,448.3780517578125,112
103,2,29,447.8941955566406,448.8993225097656,112
104,2,30,447.3311767578125,449.5168151855469,112
105,2,31,446.739990234375,449.82000732421875,112
106,2,32,445.9132080078125,450.4119873046875,112
107,2,33,444.9132080078125,450.9119873046875,112
108,2,34,444.7108154296875,451.16485595703125,112
109,2,35,444.03179931640625,451.4566650390625,112
110,2,36,443.8250732421875,451.64593505859375,112
111,2,37,443.8543701171875,451.7776184082031,112
112,2,38,444.12744140625,451.6060791015625,112
113,2,39,444.12744140625,451.6060791015625,112
114,2,40,443.55596923828125,451.88592529296875,112
115,2,41,442.86248779296875,452.1668701171875,112
116,2,42,441.5067443847656,453.20947265625,112
117,2,43,440.55029296875,453.7768859863281,112
118,2,44,439.9388732910156,454.30401611328125,112
119,2,45,439.7017822265625,454.4747009277344,112
120,2,46,439.64593505859375,454.57568359375,112
121,2,47,439.38201904296875,454.86981201171875,112
122,2,48,439.0567626953125,455.1405334472656,112
123,2,49,438.66485595703125,455.2891845703125,112
124,2,50,438.71331787109375,455.4945068359375,112
125,3,26,368.9794921875,280.72540283203125,128
126,3,27,368.9163513183594,281.3385009765625,128
127,3,28,369.0,282.0,128
128,3,29,369.55615234375,283.0164489746094,128
129,3,30,369.6443786621094,283.093505859375,128
130,3,31,369.2149353027344,283.5135803222656,128
131,3,32,369.2149353027344,283.5135803222656,128
132,3,33,369.23980712890625,284.03619384765625,128
133,3,34,369.19683837890625,283.13348388671875,128
134,3,35,369.1639099121094,283.106201171875,128
135,3,36,369.16290283203125,283.08349609375,128
136,3,37,369.0,282.5,128
137,3,38,368.9367370605469,282.39788818359375,128
138,3,39,368.8805236816406,282.29205322265625,128
139,3,40,368.9136047363281,282.2526550292969,128
140,3,41,368.9294128417969,281.6823425292969,128
141,3,42,369.0102233886719,280.9206848144531,128
142,3,43,369.1773681640625,279.5366516113281,128
143,3,44,369.1336669921875,279.1633605957031,128
144,3,45,369.3470458984375,277.79815673828125,128
145,3,46,369.3442687988281,277.7131042480469,128
146,3,47,369.4262390136719,276.81146240234375,128
147,3,48,369.286376953125,276.84735107421875,128
148,3,49,369.286376953125,276.84735107421875,128
149,3,50,369.286376953125,276.84735107421875,128
176,1,51,319.63275146484375,490.1568908691406,122
177,1,52,319.34259033203125,490.3177490234375,122
178,1,53,319.45501708984375,490.44793701171875,122
179,1,54,319.34259033203125,490.3177490234375,122
180,1,55,319.9408874511719,489.9296569824219,122
181,1,56,319.6289978027344,490.0704040527344,122
182,1,57,319.6289978027344,490.0704040527344,122
183,1,58,319.61248779296875,490.0543518066406,122
184,1,59,319.5155944824219,490.44293212890625,122
185,1,60,319.9881591796875,489.9869079589844,122
186,1,61,320.420654296875,489.4098205566406,122
187,1,62,320.93804931640625,488.92919921875,122
188,1,63,320.9246520996094,488.9133605957031,122
189,1,64,320.9569396972656,488.95050048828125,122
190,1,65,321.1722412109375,488.69805908203125,122
191,1,66,321.4336242675781,488.4955749511719,122
192,1,67,321.216796875,488.747802734375,122
193,1,68,321.16455078125,488.75518798828125,122
194,1,69,320.99774169921875,489.0475158691406,122
195,1,70,319.53369140625,491.85394287109375,122
196,1,71,320.79998779296875,490.3999938964844,122
197,1,72,319.4012756347656,492.214599609375,122
198,1,73,319.49847412109375,492.2281799316406,122
199,1,74,318.8121032714844,492.7388610839844,122
200,1,75,317.8569641113281,493.36865234375,122
201,2,51,437.8496398925781,456.00244140625,112
202,2,52,437.5262756347656,456.241455078125,112
203,2,53,437.46392822265625,456.1571044921875,112
204,2,54,437.70294189453125,455.9804382324219,112
205,2,55,437.6809387207031,456.12713623046875,112
206,2,56,437.35675048828125,456.24053955078125,112
207,2,57,437.60546875,456.4196472167969,112
208,2,58,437.08984375,456.5221862792969,112
209,2,59,436.7713623046875,456.42608642578125,112
210,2,60,436.1969909667969,456.22137451171875,112
211,2,61,435.526611328125,456.5645446777344,112
212,2,62,435.3839416503906,456.43865966796875,112
213,2,63,432.9178161621094,457.5997619628906,112
214,2,64,432.4617614746094,457.4970703125,112
215,2,65,433.0071105957031,456.3772277832031,112
216,2,66,430.57586669921875,457.890869140625,112
217,2,67,430.4912109375,458.5400085449219,112
218,2,68,429.8846130371094,459.423095703125,112
219,2,69,428.453857421875,460.3307800292969,112
220,2,70,427.18560791015625,460.9796142578125,112
221,2,71,426.4951171875,461.6438903808594,112
222,2,72,425.0660400390625,460.98114013671875,112
223,2,73,424.73077392578125,461.6538391113281,112
224,2,74,423.34722900390625,461.42279052734375,112
225,2,75,421.3730773925781,462.03460693359375,112
226,3,51,369.2823486328125,275.82940673828125,128
227,3,52,369.22747802734375,274.7400817871094,128
