file_name,fogginess,exp_type,channel,camera_focus
CSTCTest_Ch6_25012016_012902.hdf5,2,Adult 100ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch6_25012016_015934.hdf5,1, Adult 100ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch6_25012016_023006.hdf5,1, Adult 100ug/ml cisplatin 10 worms/plate,,
CSTCTest_Ch6_25012016_030038.hdf5,1,larvae 100ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch6_25012016_033111.hdf5,2,larvae 100ug/ml cisplatin 5 worms/plate,,
CSTCTest_Ch6_25012016_040143.hdf5,2,larvae 100ug/ml cisplatin 10 worms/plate,,
Pos2_Ch1_25012016_191628.hdf5,0,Untreated larvae 10 worms/plate,,
Pos2_Ch1_26012016_201417.hdf5,0,Untreated larvae 10 worms/plate,,
Pos2_Ch2_25012016_191628.hdf5,0,larvae 60ug/ml cisplatin 10 worms/plate,,
Pos2_Ch2_26012016_201417.hdf5,0,larvae 60ug/ml cisplatin 10 worms/plate,,
Pos2_Ch3_25012016_191628.hdf5,0,larvae 100ug/ml cisplatin 10 worms/plate,,
Pos2_Ch3_26012016_201417.hdf5,0,larvae 100ug/ml cisplatin 10 worms/plate,,
Pos2_Ch4_25012016_191628.hdf5,0,Untreated larvae 10 worms/plate,,
Pos2_Ch4_26012016_201417.hdf5,0,Untreated larvae 10 worms/plate,,
Pos2_Ch5_25012016_191628.hdf5,0,larvae 60ug/ml cisplatin 10 worms/plate,,
Pos2_Ch5_26012016_201417.hdf5,0,larvae 60ug/ml cisplatin 10 worms/plate,,
Pos2_Ch6_25012016_191628.hdf5,0,larvae 100ug/ml cisplatin 10 worms/plate,,
Pos2_Ch6_26012016_201417.hdf5,0,larvae 100ug/ml cisplatin 10 worms/plate,,
Pos3_Ch1_25012016_184534.hdf5,0,Untreated larvae 10 worms/plate,,
Pos3_Ch1_26012016_194110.hdf5,0,Untreated larvae 10 worms/plate,,
Pos3_Ch2_25012016_184534.hdf5,0,larvae 60ug/ml cisplatin 10 worms/plate,,
Pos3_Ch2_26012016_194110.hdf5,0,larvae 60ug/ml cisplatin 10 worms/plate,,
Pos3_Ch3_25012016_184534.hdf5,0,larvae 100ug/ml cisplatin 10 worms/plate,,
Pos3_Ch3_26012016_194110.hdf5,0,larvae 100ug/ml cisplatin 10 worms/plate,,
Pos3_Ch4_25012016_184534.hdf5,0,Untreated larvae 5 worms/plate,,
Pos3_Ch4_26012016_194110.hdf5,0,Untreated larvae 5 worms/plate,,
Pos3_Ch5_25012016_184534.hdf5,0,larvae 60ug/ml cisplatin 5 worms/plate,,
Pos3_Ch5_26012016_194110.hdf5,0,larvae 60ug/ml cisplatin 5 worms/plate,,
Pos3_Ch6_25012016_184534.hdf5,0,larvae 100ug/ml cisplatin 5 worms/plate,,
Pos3_Ch6_26012016_194110.hdf5,0,larvae 100ug/ml cisplatin 5 worms/plate,,
Pos4_Ch1_25012016_181416.hdf5,0,Untreated larvae 5 worms/plate,,
Pos4_Ch2_25012016_181416.hdf5,0,Untreated larvae 5 worms/plate,,
Pos4_Ch3_25012016_181416.hdf5,0,larvae 60ug/ml cisplatin 5 worms/plate,,
Pos4_Ch4_25012016_181416.hdf5,0,larvae 60ug/ml cisplatin 5 worms/plate,,
Pos4_Ch5_25012016_181416.hdf5,0,larvae 100ug/ml cisplatin 5 worms/plate,,
Pos4_Ch6_25012016_181416.hdf5,0,larvae 100ug/ml cisplatin 5 worms/plate,,
Pos5_Ch1_26012016_183803.hdf5,0, Untreated Adult 10 worms/plate,,
Pos5_Ch1_26012016_190840.hdf5,0, Untreated Adult 10 worms/plate,,
Pos5_Ch2_26012016_183803.hdf5,0,Adult 60ug/ml cisplatin 10 worms/plate,,
Pos5_Ch2_26012016_190840.hdf5,0,Adult 60ug/ml cisplatin 10 worms/plate,,
Pos5_Ch3_26012016_183803.hdf5,0,Adult 100ug/ml cisplatin 10 worms/plate,,
Pos5_Ch3_26012016_190840.hdf5,0,Adult 100ug/ml cisplatin 10 worms/plate,,
Pos5_Ch4_26012016_183803.hdf5,0,Untreated Adult 10 worms/plate,,
Pos5_Ch4_26012016_190840.hdf5,0,Untreated Adult 10 worms/plate,,
Pos5_Ch5_26012016_183803.hdf5,0, Adult 60ug/ml cisplatin 10 worms/plate,,
Pos5_Ch5_26012016_190840.hdf5,0, Adult 60ug/ml cisplatin 10 worms/plate,,
Pos5_Ch6_26012016_183803.hdf5,0,Adult 100ug/ml cisplatin 10 worms/plate,,
Pos5_Ch6_26012016_190840.hdf5,0,Adult 100ug/ml cisplatin 10 worms/plate,,
Pos6_Ch1_25012016_171212.hdf5,0, Untreated Adult 10 worms/plate,,
Pos6_Ch1_25012016_174328.hdf5,0, Untreated Adult 10 worms/plate,,
Pos6_Ch2_25012016_171212.hdf5,0,Adult 60ug/ml cisplatin 10 worms/plate,,
Pos6_Ch2_25012016_174328.hdf5,0,Adult 60ug/ml cisplatin 10 worms/plate,,
Pos6_Ch3_25012016_171212.hdf5,0,Adult 100ug/ml cisplatin 10 worms/plate,,
Pos6_Ch3_25012016_174328.hdf5,0,Adult 100ug/ml cisplatin 10 worms/plate,,
Pos6_Ch4_25012016_171212.hdf5,0,Untreated Adult 5 worms/plate,,
Pos6_Ch4_25012016_174328.hdf5,0,Untreated Adult 5 worms/plate,,
Pos6_Ch5_25012016_171212.hdf5,0, Adult 60ug/ml cisplatin 5 worms/plate,,
Pos6_Ch5_25012016_174328.hdf5,0, Adult 60ug/ml cisplatin 5 worms/plate,,
Pos6_Ch6_25012016_171212.hdf5,0,Adult 100ug/ml cisplatin 5 worms/plate,,
Pos6_Ch6_25012016_174328.hdf5,0,Adult 100ug/ml cisplatin 5 worms/plate,,
Pos7_Ch1_25012016_163954.hdf5,0,Untreated Adult 5 worms/plate,,
Pos7_Ch1_26012016_173935.hdf5,0,Untreated Adult 5 worms/plate,,
Pos7_Ch1_26012016_180152.hdf5,0,Untreated Adult 5 worms/plate,,
Pos7_Ch2_25012016_163954.hdf5,0, Adult 60ug/ml cisplatin 5 worms/plate,,
Pos7_Ch2_26012016_173935.hdf5,0, Adult 60ug/ml cisplatin 5 worms/plate,,
Pos7_Ch2_26012016_180152.hdf5,0, Adult 60ug/ml cisplatin 5 worms/plate,,
Pos7_Ch3_25012016_163954.hdf5,0,Adult 100ug/ml cisplatin 5 worms/plate,,
Pos7_Ch3_26012016_173935.hdf5,0,Adult 100ug/ml cisplatin 5 worms/plate,,
Pos7_Ch3_26012016_180152.hdf5,0,Adult 100ug/ml cisplatin 5 worms/plate,,
Pos7_Ch4_25012016_163954.hdf5,0,Untreated Adult 5 worms/plate,,
Pos7_Ch4_26012016_173935.hdf5,0,Untreated Adult 5 worms/plate,,
Pos7_Ch4_26012016_180152.hdf5,0,Untreated Adult 5 worms/plate,,
Pos7_Ch5_25012016_163954.hdf5,0, Adult 60ug/ml cisplatin 5 worms/plate,,
Pos7_Ch5_26012016_173935.hdf5,0, Adult 60ug/ml cisplatin 5 worms/plate,,
Pos7_Ch5_26012016_180152.hdf5,0, Adult 60ug/ml cisplatin 5 worms/plate,,
Pos7_Ch6_25012016_163954.hdf5,0,Adult 100ug/ml cisplatin 5 worms/plate,,
Pos7_Ch6_26012016_173935.hdf5,0,Adult 100ug/ml cisplatin 5 worms/plate,,
Pos7_Ch6_26012016_180152.hdf5,0,Adult 100ug/ml cisplatin 5 worms/plate,,
