Capture_Ch1_28072015_163028 Compressing video. Total time = 0:07:43, fps = 11.7; Frame 5500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:08:13, fps = 12.1; Frame 6000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:08:15, fps = 12.0; Frame 6000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:08:19, fps = 11.9; Frame 6000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:08:19, fps = 11.9; Frame 6000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:08:21, fps = 11.9; Frame 6000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:08:26, fps = 11.8; Frame 6000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:08:54, fps = 12.2; Frame 6500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:08:56, fps = 12.3; Frame 6500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:09:00, fps = 12.1; Frame 6500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:09:01, fps = 12.1; Frame 6500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:09:03, fps = 12.0; Frame 6500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:09:08, fps = 12.0; Frame 6500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:09:35, fps = 12.2; Frame 7000 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:09:37, fps = 12.2; Frame 7000 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:09:43, fps = 11.9; Frame 7000 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:09:43, fps = 11.9; Frame 7000 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:09:45, fps = 11.9; Frame 7000 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:09:50, fps = 12.0; Frame 7000 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:10:16, fps = 12.2; Frame 7500 
Capture_Ch2_28072015_111800 Compressing video. Total time = 0:10:19, fps = 12.0; Frame 7500 
Capture_Ch1_28072015_143901 Compressing video. Total time = 0:10:24, fps = 12.0; Frame 7500 
Capture_Ch1_28072015_140551 Compressing video. Total time = 0:10:25, fps = 11.9; Frame 7500 
Capture_Ch1_28072015_111800 Compressing video. Total time = 0:10:26, fps = 12.0; Frame 7500 
Capture_Ch1_28072015_163028 Compressing video. Total time = 0:10:31, fps = 12.0; Frame 7500 
Capture_Ch1_28072015_120247 Compressing video. Total time = 0:10:56, fps = 12.4; Frame 8000 
